size,sortTime1,sortTime2
29500,0.995900,0.000000
29600,0.998100,0.000000
29700,0.997500,0.000000
29800,0.000000,0.000000
29900,0.997400,0.000000
30000,0.000000,0.000000
30100,0.000000,0.000000
30200,0.997200,0.000000
30300,0.997400,0.000000
30400,0.000000,0.000000
30500,0.997500,0.000000
30600,0.000000,0.000000
30700,0.996600,0.000000
30800,1.028700,0.000000
30900,1.030700,0.000000
31000,0.994800,0.000000
31100,0.997700,0.000000
31200,0.962900,0.000000
31300,0.997300,0.000000
31400,1.040300,0.000000
31500,0.990100,0.000000
31600,1.040300,0.000000
31700,0.000000,0.000000
31800,1.000700,0.000000
31900,0.954800,0.000000
32000,0.955000,0.000000
32100,1.030900,0.000000
32200,0.996900,0.000000
32300,1.000200,0.000000
32400,0.952800,0.000000
32500,0.997300,0.000000
32600,0.997300,0.000000
32700,0.000000,0.000000
32800,0.000000,0.000000
32900,0.000000,0.000000
33000,0.997300,0.000000
33100,0.997300,0.000000
33200,0.997400,0.000000
33300,0.997500,0.000000
33400,0.997200,0.000000
33500,0.997400,0.000000
33600,0.997400,0.000000
33700,0.997300,0.000000
33800,0.997400,0.000000
33900,0.997400,0.000000
34000,0.997400,0.000000
34100,0.997000,0.000000
34200,0.997400,0.000000
34300,0.998100,0.000000
34400,0.997200,0.000000
34500,0.000000,0.000000
34600,0.000000,0.000000
34700,0.000000,0.000000
34800,0.000000,0.000000
34900,0.997400,0.000000
35000,0.997900,0.000000
35100,0.997300,0.000000
35200,0.997500,0.000000
35300,0.997400,0.000000
35400,0.997400,0.000000
35500,0.000000,0.000000
35600,0.000000,0.000000
35700,0.000000,0.000000
35800,0.997200,0.000000
35900,0.997300,0.000000
36000,0.997300,0.000000
36100,0.997400,0.000000
36200,0.000000,0.000000
36300,0.997600,0.000000
36400,0.997300,0.000000
36500,0.997000,0.000000
36600,0.000000,0.000000
36700,0.997500,0.000000
36800,0.997300,0.000000
36900,0.000000,0.000000
37000,0.997100,0.000000
37100,0.997300,0.000000
37200,0.997300,0.000000
37300,0.000000,0.000000
37400,0.996100,0.000000
37500,0.997500,0.000000
37600,0.000000,0.000000
37700,0.997500,0.000000
37800,0.997300,0.000000
37900,0.997500,0.000000
38000,0.997400,0.000000
38100,0.997300,0.000000
38200,0.997600,0.000000
38300,0.000000,0.000000
38400,0.997400,0.000000
38500,0.997300,0.000000
38600,0.000000,0.000000
38700,0.997400,0.000000
38800,0.997400,0.000000
38900,0.947900,0.000000
39000,0.996500,0.000000
39100,1.952500,0.000000
39200,0.997500,0.000000
39300,0.999400,0.000000
39400,0.995500,0.000000
39500,1.032400,0.000000
39600,0.996100,0.000000
39700,0.000000,0.000000
39800,0.997700,0.000000
39900,0.000000,0.000000
40000,0.997200,0.000000
40100,0.997300,0.000000
40200,1.000200,0.000000
40300,0.995600,0.000000
40400,0.994600,0.000000
40500,0.997200,0.000000
40600,1.000500,0.000000
40700,0.999000,0.000000
40800,0.997300,0.000000
40900,0.995400,0.000000
41000,0.994400,0.000000
41100,1.030300,0.000000
41200,1.043800,0.000000
41300,0.999900,0.000000
41400,0.996900,0.000000
41500,0.997200,0.000000
41600,1.028300,0.000000
41700,0.000000,0.000000
41800,0.998700,0.000000
41900,0.995400,0.000000
42000,0.963000,0.000000
42100,1.007300,0.000000
42200,0.000000,0.000000
42300,0.998700,0.000000
42400,1.031700,0.000000
42500,1.027800,0.000000
42600,0.994600,0.000000
42700,0.963900,0.000000
42800,0.994400,0.000000
42900,0.965000,0.000000
43000,0.994000,0.000000
43100,1.368000,0.000000
43200,1.045800,0.000000
43300,0.962100,0.000000
43400,1.029800,0.000000
43500,0.994800,0.000000
43600,0.000000,0.000000
43700,0.999600,0.000000
43800,0.989100,0.000000
43900,0.000000,0.000000
44000,0.997400,0.000000
44100,0.997300,0.000000
44200,0.997400,0.000000
