WQUF,UF
20.947000,20.943100
20.944600,21.939600
20.522900,29.827900
20.943100,21.825500
21.977500,21.321300
21.613900,21.958800
21.253300,22.019800
21.605300,36.448200
20.890400,21.973400
21.496400,21.272100
20.944200,23.291800
21.426100,22.455000
20.979400,22.927100
22.000800,22.071200
21.207500,22.939100
21.975500,22.837500
21.943700,22.406700
21.890900,22.176500
28.921000,22.972200
22.381500,22.551500
22.341200,22.920000
21.965000,22.914600
22.968500,22.942100
21.978000,29.137600
21.608400,23.901200
22.445000,22.566000
22.306200,23.419100
21.034800,19.460200
17.951800,26.928200
17.988600,19.783800
17.942400,19.266100
18.548400,18.393100
18.525000,18.960900
18.498100,19.100400
18.825200,18.859500
19.057300,19.050800
18.946300,20.365100
18.875700,19.274100
18.902800,18.757300
24.455200,21.057700
18.697600,19.390400
18.839000,19.711000
18.723400,19.660200
18.968100,19.889500
18.215600,19.946800
19.621600,33.866900
18.986000,19.468700
18.949500,20.163900
19.946700,19.947300
19.492300,19.947500
19.078000,19.341200
18.980900,25.015500
19.972200,19.834900
19.946600,19.976100
18.950200,21.057900
19.627400,31.391500
20.069300,19.955300
20.498000,19.990500
19.887000,20.748900
19.979800,20.017700
20.137600,20.939700
19.946700,20.291900
19.424900,20.977300
20.036300,20.793500
20.004800,21.310900
19.973000,20.762800
20.946400,21.575900
19.786700,20.839500
20.980900,21.124400
25.442200,21.618100
20.953100,20.775400
19.793200,20.943900
26.483200,34.981700
31.423500,30.948600
30.049300,31.459900
30.799300,30.923600
30.173800,31.955800
31.428700,31.401100
37.444100,31.914600
30.505000,31.914900
30.943700,37.077500
38.097800,31.914600
30.932500,47.453000
31.169300,31.753800
30.821400,32.912000
31.065500,33.381200
30.998100,33.002500
28.924500,27.336000
26.886700,26.479800
27.851900,26.924200
28.582000,30.889400
25.921100,27.029700
27.312900,27.007400
26.930800,27.862700
25.955700,27.982600
28.784000,30.082700
27.927200,27.769500
26.611300,41.471000
27.339500,27.661500
27.862800,28.002600
26.955500,28.199600
26.826300,28.297500
26.635200,28.705500
26.929700,33.058600
27.168400,23.812500
22.060200,23.910000
21.976800,22.832200
21.862100,22.930800
22.190700,22.972300
22.892900,22.935500
23.188400,23.171600
22.858600,22.725000
22.939500,23.521400
22.965500,22.526800
22.952900,23.482700
23.025800,23.715200
22.698800,23.782000
22.367900,23.935600
22.383800,23.967700
22.941600,23.916100
21.972500,22.914800
24.060400,23.903000
22.893300,24.071300
23.023400,23.935900
24.046900,23.264500
22.939000,23.977900
23.030400,23.959500
23.624000,23.787900
23.115200,24.638700
22.990900,23.902700
23.221100,23.935600
23.934700,23.861200
22.686300,25.349300
22.965500,24.512500
23.935600,24.020700
23.068800,25.028600
24.691900,25.034000
24.609900,24.254700
24.965100,23.904000
24.008400,24.035100
23.405800,25.060700
23.740500,24.940000
31.375200,25.931000
22.996700,24.031100
24.036900,24.922900
25.301100,33.179600
35.563800,36.996800
36.215500,37.064300
36.059000,37.018200
37.320000,49.707300
40.960300,37.898700
37.322600,54.897800
37.179400,41.931400
41.924700,37.895500
36.305600,37.554700
35.901000,39.017700
36.080500,36.943800
36.017600,37.930200
36.677900,36.901500
31.740400,31.540200
32.993300,32.066100
30.727900,31.864300
31.062600,31.471400
31.125100,31.959400
31.367100,32.242800
31.781700,32.100600
31.939400,33.130400
