queryNumber,OptimalBST,Array,HashTable
370000,90.584600,115.045000,124.993200
371000,91.429300,101.811600,105.285400
372000,79.695400,90.391000,101.672800
373000,92.752300,90.848000,101.927500
374000,79.463600,91.298400,101.831800
375000,80.446800,121.743000,113.824600
376000,94.411700,122.826200,112.065400
377000,93.490100,122.486000,110.616300
378000,97.030500,118.789400,119.539300
379000,95.414900,118.596400,113.951200
380000,98.027200,128.518800,115.202900
381000,129.939600,123.608300,147.034300
382000,111.359900,121.140600,172.106000
383000,101.746400,122.967000,125.672000
384000,94.191700,128.495400,110.288600
385000,95.127100,123.060600,111.362400
386000,95.121700,131.072800,111.438900
387000,102.137200,114.816400,111.931900
388000,107.806900,128.473000,111.222700
389000,96.813300,115.674700,127.449500
390000,89.582600,104.083400,137.769800
391000,90.867400,103.965400,139.150400
392000,90.627200,104.734700,127.530100
393000,97.049800,108.766400,121.198800
394000,98.308400,111.718400,121.587200
395000,98.298500,109.117800,128.433200
396000,99.130000,119.212100,122.336700
397000,115.399600,114.080500,115.061600
398000,94.034300,112.682900,109.635900
399000,84.498900,94.948100,116.273300
400000,84.763000,101.439000,111.985300
401000,91.567700,110.411400,109.896300
402000,100.096200,132.694100,118.098200
403000,101.086000,131.266100,117.022800
404000,100.303900,132.493800,131.277500
405000,107.953500,129.622100,155.597800
406000,107.856300,130.081700,167.691600
407000,107.899700,101.873800,128.867800
408000,94.360000,101.474400,130.157900
409000,88.893600,96.000600,134.541500
410000,97.870500,111.011700,139.427400
411000,106.818200,137.986000,154.244400
412000,117.235000,135.849500,139.644000
413000,124.553000,122.813000,119.511400
414000,101.985300,123.017000,129.012500
415000,102.534900,128.218700,130.492400
416000,118.775200,137.958700,131.049900
417000,113.086000,128.295300,132.255200
418000,128.292800,166.685000,152.470700
419000,127.581200,155.019000,152.402100
420000,122.454800,157.437900,121.456000
421000,99.240300,116.651600,124.332000
422000,99.857400,117.784300,129.487000
423000,100.473700,112.424200,115.489700
424000,91.508100,99.952000,116.334300
425000,90.804600,100.740900,115.609500
426000,90.420600,101.129200,137.105700
427000,140.928700,155.708200,150.292400
428000,135.586200,154.164300,155.867200
429000,127.477500,124.140800,149.876500
430000,132.013300,135.976100,146.256200
431000,119.102600,134.191800,147.750800
432000,112.744500,149.008500,144.521800
433000,112.283900,146.834400,146.880800
434000,117.372500,139.730900,146.986900
435000,111.945700,141.892500,158.970100
436000,115.094000,195.213600,185.945800
437000,172.254100,220.829100,203.345700
438000,143.110000,162.704600,159.304800
439000,143.692900,167.938700,159.937500
440000,127.827200,132.330100,137.859100
441000,105.775900,132.123200,138.019600
442000,106.000700,141.238100,135.111500
443000,106.173400,130.271800,125.589800
444000,105.844300,121.899800,125.424000
445000,105.262600,125.384500,145.140600
446000,127.299600,154.118400,158.264600
447000,132.517500,153.749800,149.930600
448000,122.972000,131.289300,158.677400
449000,123.028500,133.993100,160.356600
450000,125.147300,113.992500,122.789400
451000,96.739800,110.502300,123.179300
452000,96.765900,110.699700,122.964100
453000,96.704300,141.619200,155.283900
454000,117.991900,155.611400,152.090100
455000,137.181400,156.078100,139.010500
456000,121.225600,142.766800,138.964100
457000,116.161300,142.245700,137.724800
458000,129.674000,181.938300,171.988600
459000,148.986400,167.373700,173.314300
460000,131.944300,154.992800,133.288000
461000,112.810100,148.781200,134.136200
462000,114.796600,147.978100,143.365600
463000,109.637100,139.410000,145.384600
464000,109.840800,141.304400,146.144900
465000,107.173700,114.018600,127.912700
466000,102.980600,147.187300,142.031100
467000,100.819500,114.019300,129.106600
468000,131.202100,144.228800,157.159900
469000,130.726300,143.884900,159.051000
470000,130.524000,126.262800,142.598600
471000,109.049000,128.326400,136.558100
472000,129.997800,128.111400,133.896100
473000,100.464200,114.907000,141.054200
474000,106.829800,120.778000,129.888300
475000,121.045100,122.427000,144.227600
476000,118.833500,167.982600,136.951100
477000,117.536200,159.077700,138.691300
478000,145.044000,182.220100,168.733900
479000,149.838700,192.956500,171.021400
480000,121.419100,123.535100,146.850400
481000,116.740400,124.448700,147.043400
482000,117.033700,129.131800,140.994800
483000,118.788800,159.221900,139.748000
484000,119.444500,154.821600,138.959700
485000,113.215100,136.111300,138.703900
486000,118.640400,137.470100,138.302300
487000,115.171700,144.664300,152.897300
488000,133.321700,150.358200,155.163400
489000,132.238300,164.971100,155.228100
490000,122.729600,153.495800,148.320900
491000,138.676600,153.432400,147.250900
492000,119.052600,135.976900,140.225800
493000,117.892200,135.352700,140.386100
494000,120.184800,145.250300,157.706300
495000,107.890600,115.166400,157.752600
496000,109.014500,114.868800,158.426600
497000,118.111700,150.026400,159.121800
498000,133.442500,159.788900,159.081100
499000,138.184500,137.286200,176.804600
500000,121.363200,139.552000,181.827800
501000,116.440600,132.958400,150.190000
502000,125.206500,164.186700,149.082800
503000,124.906900,164.081500,154.789100
504000,129.670500,162.489200,185.765300
505000,133.988100,163.658600,170.141300
506000,142.165300,157.029100,167.877700
507000,137.590300,154.566700,160.020100
508000,135.939900,165.967500,146.341100
509000,126.703200,165.739200,146.072700
510000,130.109600,161.337900,154.517000
511000,130.118600,154.946200,147.286900
512000,125.969400,152.654200,146.377300
513000,136.687600,143.010100,162.281700
514000,122.676900,142.012700,145.924400
515000,126.903900,157.117800,164.943300
516000,142.808200,155.237300,166.050100
517000,134.759100,154.097800,150.188700
518000,127.929500,160.544200,162.829900
519000,127.808300,178.381300,140.965700
520000,109.828500,122.916200,142.978300
521000,110.046400,123.972400,143.669200
522000,140.869500,169.920900,150.255400
523000,131.869600,170.810800,151.093200
524000,135.136300,169.650100,165.330700
525000,140.661200,186.969600,203.909300
526000,141.983600,140.970400,184.198500
527000,146.893800,139.712800,186.019400
528000,137.210800,156.188700,155.914400
529000,131.063700,166.423600,161.546300
530000,131.247600,165.777500,152.992300
531000,131.026100,166.039500,152.021000
532000,130.033600,163.880300,166.811600
533000,165.087500,215.586900,188.773100
534000,165.636200,203.964400,162.244100
535000,131.927300,149.990400,163.224200
536000,134.560700,168.621300,170.770400
537000,121.478200,151.633000,161.482000
538000,123.504300,150.473300,154.088100
539000,119.391200,126.755500,146.099300
540000,115.358900,127.984800,147.596700
541000,115.151100,128.288500,205.790800
542000,181.083600,205.527600,206.065700
543000,192.156900,147.604100,194.176700
544000,136.809100,144.238000,192.173600
545000,136.699300,142.095300,177.990900
546000,133.304600,139.287800,167.533100
547000,133.515200,141.542000,162.982200
548000,136.037100,173.444700,160.524400
549000,136.003500,174.860100,193.039500
550000,167.818700,199.462900,210.230000
551000,162.000800,183.992100,176.473500
552000,141.788300,156.419400,168.556900
553000,138.889400,163.709800,190.664300
554000,133.127800,172.067200,181.967600
555000,132.596200,168.196100,162.740100
556000,125.974700,187.177000,164.857200
557000,125.629300,151.811600,169.064100
558000,139.218800,142.885400,171.927500
559000,138.323500,142.578900,172.550300
560000,166.670800,219.168700,202.775400
561000,176.038800,216.062400,171.867800
562000,122.934100,137.390400,153.877600
563000,121.239500,137.720300,155.185200
564000,156.990600,145.827100,177.767100
565000,136.849200,144.146900,172.229100
566000,149.664900,177.711100,185.108100
567000,143.021500,177.474700,170.530800
568000,151.282000,202.061000,198.839300
569000,171.331900,216.069500,211.391300
570000,139.670100,181.661100,164.759000
571000,141.164300,182.502200,175.445600
572000,135.845000,173.337000,179.000700
573000,153.915000,172.857100,185.576700
574000,132.470600,155.727100,208.050700
575000,132.600100,153.091600,205.916300
576000,193.103200,171.914700,220.329400
577000,164.208400,172.998400,184.405300
578000,136.382400,163.138400,168.823700
579000,141.399600,170.543300,197.978700
580000,134.656000,142.099000,185.962400
581000,126.813100,141.121400,181.195100
582000,144.941300,192.304100,170.343400
583000,145.239600,197.437100,173.060500
584000,161.528700,182.646300,189.864600
585000,156.137200,184.773700,188.055700
586000,137.405900,137.027100,186.181600
587000,128.064600,137.021300,188.993400
588000,151.446000,194.697600,198.553600
589000,150.992800,190.371700,180.742400
590000,145.166600,176.846000,169.578200
591000,147.919600,176.772900,181.669800
592000,164.842200,209.933600,191.332200
593000,170.793500,193.905000,207.590800
594000,167.159200,199.329900,201.990100
595000,154.000900,167.267900,168.184600
596000,143.814400,166.269400,170.252700
597000,142.543400,149.973900,190.043800
598000,130.628100,138.782000,190.728300
599000,130.913200,144.610600,191.927300
600000,199.934500,193.635100,199.321000
601000,170.009900,172.436500,219.671600
602000,143.938200,161.084700,222.017800
603000,152.963800,210.069400,198.490500
604000,160.752500,216.345300,201.975200
605000,156.744500,194.733400,204.914900
606000,156.355600,194.439200,197.027500
607000,169.622100,199.877600,207.810300
608000,169.505200,183.895200,186.162700
609000,151.903500,167.746200,187.437700
610000,149.925400,175.133100,195.555500
611000,144.294300,184.871200,196.555900
612000,145.956500,172.175200,175.226100
613000,147.170900,168.951000,191.102300
614000,153.868100,201.274200,213.068100
615000,174.239800,205.569000,217.800000
616000,159.526600,170.814600,200.896600
617000,152.965300,177.099500,184.029900
618000,131.052000,150.942600,167.883800
619000,130.435900,148.677300,168.508500
620000,146.881600,214.773900,222.460400
621000,161.330200,234.576300,223.008100
622000,202.164600,223.776200,237.270400
623000,202.004500,186.439300,240.818000
624000,168.273700,189.940200,253.563500
625000,154.380900,197.720900,182.968700
626000,154.172200,196.790800,191.098200
627000,155.358200,206.567400,196.086400
628000,149.375700,201.013500,250.235100
629000,226.703100,271.268700,242.240000
630000,161.043800,174.131400,205.047100
631000,156.011900,173.883200,186.754400
632000,156.750600,172.297000,181.834600
633000,148.816400,170.861300,184.947700
634000,144.067100,158.200400,173.589700
635000,135.681900,157.552500,183.031500
636000,169.697100,203.621700,190.973600
637000,156.718400,208.077700,201.575400
638000,163.684900,175.939100,196.177600
639000,158.507600,171.358800,208.202200
640000,155.842900,175.350900,195.571700
641000,156.973200,204.817900,201.041100
642000,157.569000,201.975600,186.705600
643000,155.059200,180.770100,190.234500
644000,152.328900,181.300300,190.388400
645000,166.310100,193.049700,266.018400
646000,170.161700,192.969000,206.624000
647000,181.567100,201.872800,194.823700
648000,171.972400,188.234000,185.936400
649000,147.567500,174.570200,185.893400
650000,149.158800,162.634000,211.248200
651000,142.221900,161.704700,211.787000
652000,142.184700,236.500200,267.640700
653000,223.900400,253.474800,238.028800
654000,151.631800,175.874700,234.090600
655000,152.553100,174.830700,201.625100
656000,159.231800,169.867600,202.421200
657000,169.408300,210.366000,224.027700
658000,171.078300,214.612400,229.586300
659000,234.425500,262.343500,258.069700
660000,221.967600,211.972700,206.294200
661000,168.575700,219.071900,190.395100
662000,170.580400,204.661300,190.965400
663000,162.877400,197.019300,221.934300
664000,153.926600,176.747700,235.149000
665000,153.833000,196.430100,229.814500
666000,180.011500,222.078100,229.325700
667000,162.712500,187.674200,204.816500
668000,157.711700,187.608400,189.100900
669000,146.713700,157.968700,183.035100
670000,142.612300,158.584400,183.008700
671000,191.287100,225.500100,193.315000
672000,170.197800,222.512100,231.458200
673000,206.777400,236.860000,224.524600
674000,175.049100,159.794000,214.521900
675000,160.910500,158.099200,215.215800
676000,173.486600,213.107300,196.337900
677000,170.873800,216.570900,196.793200
678000,167.601100,210.387500,194.444000
679000,180.591400,226.383400,256.406600
680000,220.405500,250.741900,271.578200
681000,176.240000,228.498800,230.992100
682000,178.528300,192.418800,201.467800
683000,170.888600,192.158000,198.199400
684000,157.936000,182.742100,186.006800
685000,149.038300,161.078300,187.014900
686000,179.189800,235.736600,229.318500
687000,194.731800,242.017900,270.063500
688000,240.327800,277.634200,258.353900
689000,177.682300,234.931800,229.046600
690000,187.098400,224.036800,201.012400
691000,169.959800,217.287700,201.694900
692000,186.501200,240.425000,231.595900
693000,216.957000,240.818600,230.448500
694000,190.890800,220.997800,225.232800
695000,177.709700,235.468400,221.146200
696000,165.441500,213.641700,218.597400
697000,158.052400,192.293100,200.681200
698000,165.308400,215.813800,309.019900
699000,267.088300,285.956600,243.607600
700000,186.549800,214.725700,222.248500
701000,182.866500,170.039900,191.132500
702000,156.069700,175.363200,196.143300
703000,159.001900,239.109400,234.507200
704000,182.662700,238.675600,251.377000
705000,203.621600,211.944200,250.776500
706000,194.590100,212.326700,274.930400
707000,187.800400,211.285300,218.016200
708000,179.905900,228.811300,205.039800
709000,181.018600,227.814000,223.362000
710000,181.479800,222.317000,232.224500
711000,164.425200,193.910400,258.064600
712000,164.517300,192.420800,225.235700
713000,196.672800,219.218600,250.080100
714000,177.098500,201.476700,207.895800
715000,174.558100,215.565900,200.418600
716000,153.169400,174.048100,194.756600
717000,156.100400,175.157100,204.735800
718000,190.830300,234.695100,206.966300
719000,180.780800,219.227200,228.518400
720000,201.255400,219.276400,228.795400
721000,174.915800,183.749900,220.308000
